#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## alpha: alpha in the simple power-law model (equation below).
## alpha_low: The lower limit of "alpha" (90% confidence region).
## alpha_hi: The upper limit of "alpha" (90% confidence region).
## norm: The normalization factor in the simple power-law model (equation below), in unit of (number of photon)/cm^2/s/keV.
## norm_low: The lower limit of "norm" (90% confidence region). 
## norm_hi: The upper limit of "norm" (90% confidence region).
## chi2: chi^2 from the fitting, reported by XSPEC.
## reduced_chi2: reduced chi^2 reported by XSPEC.
## null_prob: The null probability of the model, reported by XSPEC.
## enrom: The normalization energy in the simple power-law model (eaution below). "enorm" is set to 50 keV in all analyses.
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## Note -- Simple power-law (PL) equation: f = norm*(E/enorm)^{alpha}
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | alpha | alpha_low | alpha_hi | norm | norm_low | norm_hi | chi2 | dof | reduced_chi2 | null_prob | enorm | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB180404B   |    821902    | -7.923180e-01 | -8.656130e-01 | -7.179060e-01 | 4.491790e-02 | 4.290690e-02 | 4.692220e-02 | 58.63 | 57 | 1.029 | 4.153878e-01 | 50.0000 | 1 | 8.880000 | 9.880000 |  
GRB180404A   |    821881    | -1.674030e+00 | -1.901940e+00 | -1.451070e+00 | 1.004620e-02 | 8.657150e-03 | 1.141010e-02 | 54.34 | 57 | 0.9533 | 5.756327e-01 | 50.0000 | 1 | 1.992000 | 2.992000 |  
GRB180402A   |    821103    | -8.783140e-01 | -1.178050e+00 | -5.547830e-01 | 1.583630e-02 | 1.309060e-02 | 1.851470e-02 | 69.87 | 57 | 1.226 | 1.176912e-01 | 50.0000 | 1 | -0.340000 | 0.660000 |  
GRB180331B   |    820513    | -2.058420e+00 | -2.261060e+00 | -1.868170e+00 | 1.835290e-02 | 1.577930e-02 | 2.087060e-02 | 67.84 | 57 | 1.190 | 1.542529e-01 | 50.0000 | 1 | 0.988000 | 1.988000 |  
GRB180331A   |    820347    | -1.131570e+00 | -1.548450e+00 | -6.907250e-01 | 4.682920e-03 | 3.442590e-03 | 5.921250e-03 | 51.31 | 57 | 0.9002 | 6.874071e-01 | 50.0000 | 1 | 8.084000 | 9.084000 |  
GRB180329B   |    819490    | -1.911870e+00 | -2.548380e+00 | -1.390180e+00 | 9.884880e-03 | 5.955330e-03 | 1.344250e-02 | 58.84 | 57 | 1.032 | 4.079551e-01 | 50.0000 | 1 | 1.564000 | 2.564000 |  
GRB180329A   |    819301    | -9.967400e-01 | -1.840560e+00 | -4.901460e-02 | 3.772920e-03 | 2.197930e-03 | 5.086090e-03 | 64.02 | 57 | 1.123 | 2.436615e-01 | 50.0000 | 1 | 0.496000 | 1.496000 |  
GRB180325A   |    817564    | -8.946090e-01 | -9.556290e-01 | -8.331340e-01 | 8.136930e-02 | 7.858550e-02 | 8.414730e-02 | 42.45 | 57 | 0.7448 | 9.244453e-01 | 50.0000 | 1 | 80.752000 | 81.752000 |  
GRB180324A   |    817345    | -1.165290e+00 | -1.269280e+00 | -1.061220e+00 | 3.735360e-02 | 3.515300e-02 | 3.955420e-02 | 57.77 | 57 | 1.014 | 4.465488e-01 | 50.0000 | 1 | -0.128000 | 0.872000 |  
GRB180316A   |    814677    | -1.205110e+00 | -1.431260e+00 | -9.694690e-01 | 2.830080e-02 | 2.454760e-02 | 3.204480e-02 | 70.24 | 57 | 1.232 | 1.119084e-01 | 50.0000 | 1 | 1.272000 | 2.272000 |  
