#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XXkeV: Photon flux in XX - XX keV, with unit of (number of photons)/cm^2/s.
## XX_XXkeV_low: The lower limit of photon flux in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of photon flux in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB180510B   |    831816    | 4.470110e-01 | 3.087180e-01 | 5.948180e-01 | 4.085140e-01 | 3.231990e-01 | 4.931450e-01 | 2.579760e-01 | 1.856530e-01 | 3.296400e-01 | 1.042350e-01 | 6.271740e-02 | 1.536380e-01 | 2.494870e-01 | 1.343620e-01 | 4.106760e-01 | 1.217750e+00 | 9.680110e-01 | 1.467790e+00 | 1.363000e+00 | 1.083900e+00 | 1.643590e+00 | 1 | 0.964000 | 1.964000 |  
GRB180510A   |    831810    | 9.028240e-01 | 7.174010e-01 | 1.101970e+00 | 1.076190e+00 | 9.359550e-01 | 1.213870e+00 | 9.266770e-01 | 8.192590e-01 | 1.032680e+00 | 4.811610e-01 | 3.950470e-01 | 5.716640e-01 | 1.360470e+00 | 1.048260e+00 | 1.724610e+00 | 3.386860e+00 | 3.012740e+00 | 3.762150e+00 | 4.266170e+00 | 3.814420e+00 | 4.721180e+00 | 1 | 8.268000 | 9.268000 |  
GRB180504A   |    830822    | 2.765890e-01 | 1.725230e-01 | 3.894400e-01 | 2.770070e-01 | 2.102750e-01 | 3.422430e-01 | 1.947530e-01 | 1.323290e-01 | 2.559040e-01 | 8.587640e-02 | 4.663040e-02 | 1.348790e-01 | 2.171820e-01 | 1.021960e-01 | 3.961840e-01 | 8.342260e-01 | 6.438780e-01 | 1.024850e+00 | 9.655260e-01 | 7.392350e-01 | 1.197730e+00 | 1 | 16.804000 | 17.804000 |  
GRB180425A   |    828672    | 3.851320e-01 | 2.544580e-01 | 5.355820e-01 | 5.678520e-01 | 4.390750e-01 | 6.947220e-01 | 6.247540e-01 | 5.239630e-01 | 7.250550e-01 | 3.940790e-01 | 3.010910e-01 | 4.927980e-01 | 1.292220e+00 | 8.927390e-01 | 1.801980e+00 | 1.971810e+00 | 1.638820e+00 | 2.307560e+00 | 2.869950e+00 | 2.386110e+00 | 3.378280e+00 | 1 | 1.188000 | 2.188000 |  
GRB180418A   |    826428    | 9.341420e-01 | 8.349620e-01 | 1.036330e+00 | 9.928990e-01 | 9.274490e-01 | 1.057930e+00 | 7.482860e-01 | 6.902150e-01 | 8.059470e-01 | 3.490400e-01 | 3.068370e-01 | 3.932220e-01 | 9.161010e-01 | 7.765950e-01 | 1.070420e+00 | 3.024360e+00 | 2.838350e+00 | 3.210540e+00 | 3.591420e+00 | 3.366190e+00 | 3.818040e+00 | 1 | 0.236000 | 1.236000 |  
GRB180411A   |    824451    | 1.455370e+00 | 1.345830e+00 | 1.567940e+00 | 1.841430e+00 | 1.757190e+00 | 1.925200e+00 | 1.698850e+00 | 1.625280e+00 | 1.772080e+00 | 9.320810e-01 | 8.678820e-01 | 9.977150e-01 | 2.743650e+00 | 2.493100e+00 | 3.010040e+00 | 5.927730e+00 | 5.698360e+00 | 6.157270e+00 | 7.739290e+00 | 7.422270e+00 | 8.059570e+00 | 1 | 51.740000 | 52.740000 |  
GRB180410A   |    824063    | 1.324450e-01 | 6.369150e-02 | 2.194400e-01 | 2.033440e-01 | 1.280530e-01 | 2.781000e-01 | 2.343370e-01 | 1.744830e-01 | 2.940160e-01 | 1.532980e-01 | 9.929820e-02 | 2.126420e-01 | 5.178140e-01 | 2.874020e-01 | 8.575400e-01 | 7.234190e-01 | 5.271080e-01 | 9.231240e-01 | 1.087990e+00 | 7.965850e-01 | 1.406860e+00 | 1 | 25.704000 | 26.704000 |  
GRB180407A   |    823001    | 3.294240e-01 | 2.202610e-01 | 4.456320e-01 | 2.896500e-01 | 2.222510e-01 | 3.568840e-01 | 1.748010e-01 | 1.169290e-01 | 2.332050e-01 | 6.804720e-02 | 3.695800e-02 | 1.069110e-01 | 1.592500e-01 | 7.636650e-02 | 2.826280e-01 | 8.619180e-01 | 6.622640e-01 | 1.061670e+00 | 9.531150e-01 | 7.295750e-01 | 1.178650e+00 | 1 | 2.172000 | 3.172000 |  
GRB180404B   |    821902    | 9.425910e-01 | 8.566590e-01 | 1.031460e+00 | 1.449850e+00 | 1.366950e+00 | 1.532270e+00 | 1.674350e+00 | 1.598970e+00 | 1.749540e+00 | 1.097150e+00 | 1.022450e+00 | 1.173160e+00 | 3.711060e+00 | 3.363210e+00 | 4.081800e+00 | 5.163920e+00 | 4.936930e+00 | 5.391040e+00 | 7.777820e+00 | 7.386570e+00 | 8.177550e+00 | 1 | 8.880000 | 9.880000 |  
GRB180404A   |    821881    | 4.887540e-01 | 3.920120e-01 | 5.897310e-01 | 4.438050e-01 | 3.868600e-01 | 5.004650e-01 | 2.781680e-01 | 2.285280e-01 | 3.276360e-01 | 1.116960e-01 | 8.202800e-02 | 1.452170e-01 | 2.663360e-01 | 1.821970e-01 | 3.721240e-01 | 1.322420e+00 | 1.155230e+00 | 1.489800e+00 | 1.477060e+00 | 1.289990e+00 | 1.664920e+00 | 1 | 1.992000 | 2.992000 |  
