#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XXkeV: Photon flux in XX - XX keV, with unit of (number of photons)/cm^2/s.
## XX_XXkeV_low: The lower limit of photon flux in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of photon flux in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB180512A   |    832119    | 3.898290e-01 | 2.337830e-01 | 5.464200e-01 | 1.347540e-01 | 0.000000e+00 | 2.565320e-01 | 2.777720e-02 | 0.000000e+00 | 1.103950e-01 | 4.735010e-03 | 0.000000e+00 | 3.676640e-02 | 1.021260e-02 | 0.000000e+00 | 1.167190e-01 | N/A | N/A | N/A | 6.555120e-01 | 4.449980e-01 | 8.699420e-01 | 1 | 54.000000 | 55.000000 |  
GRB180510B   |    831816    | 4.280190e-01 | 2.717550e-01 | 5.869780e-01 | 4.248230e-01 | 3.267690e-01 | 5.329820e-01 | 2.636930e-01 | 1.880840e-01 | 3.433910e-01 | 8.944830e-02 | 2.883940e-02 | 1.510040e-01 | 1.657920e-01 | 0.000000e+00 | 2.877550e-01 | 1.205990e+00 | 9.524980e-01 | 1.459530e+00 | 1.282380e+00 | 9.810030e-01 | 1.630560e+00 | 1 | 0.964000 | 1.964000 |  
GRB180510A   |    831810    | 9.018970e-01 | N/A | N/A | 1.072720e+00 | 9.213800e-01 | 1.227250e+00 | 9.248420e-01 | N/A | N/A | 4.831620e-01 | 3.813160e-01 | 5.769270e-01 | 1.432290e+00 | N/A | N/A | 3.398100e+00 | N/A | N/A | 4.344040e+00 | 3.536640e+00 | 4.725750e+00 | 1 | 8.268000 | 9.268000 |  
GRB180504A   |    830822    | 2.860090e-01 | N/A | N/A | 2.701710e-01 | 1.933060e-01 | 3.623800e-01 | 1.916990e-01 | 4.179260e-02 | 1.301840e-01 | 9.131670e-02 | 3.044420e-02 | 1.399570e-01 | 2.160060e-01 | N/A | N/A | 8.362330e-01 | 6.417820e-01 | 1.026530e+00 | 1.005960e+00 | 6.527480e-01 | 1.238000e+00 | 1 | 16.804000 | 17.804000 |  
GRB180425A   |    828672    | 3.077970e-01 | 1.334570e-01 | 4.076960e-01 | 5.716500e-01 | 4.271350e-01 | 7.109320e-01 | 6.790470e-01 | 6.102670e-01 | 8.232820e-01 | 3.575580e-01 | 2.336960e-01 | 4.758230e-01 | 7.548620e-01 | 3.256060e-01 | 1.699700e+00 | 1.916050e+00 | 1.562950e+00 | 2.267120e+00 | 2.313390e+00 | 1.709850e+00 | 3.132800e+00 | 1 | 1.188000 | 2.188000 |  
GRB180418A   |    826428    | 9.328320e-01 | 8.156020e-01 | 1.018430e+00 | 9.946930e-01 | 9.276700e-01 | 1.071910e+00 | 7.493260e-01 | 6.899670e-01 | 8.136850e-01 | 3.481260e-01 | 2.803660e-01 | 3.812490e-01 | 9.084520e-01 | 5.393730e-01 | 1.003900e+00 | 3.022630e+00 | 2.830400e+00 | 3.210510e+00 | 3.573530e+00 | 3.161590e+00 | 3.813030e+00 | 1 | 0.236000 | 1.236000 |  
GRB180411A   |    824451    | 9.454700e-01 | 7.795320e-01 | 1.079760e+00 | 7.148940e-01 | 6.142470e-01 | 7.847160e-01 | 3.776600e-01 | 3.484540e-01 | 3.980710e-01 | 1.405980e-01 | 1.172970e-01 | 1.450510e-01 | 3.475690e-01 | 2.956210e-01 | 3.925960e-01 | 2.178270e+00 | 1.897440e+00 | 2.370630e+00 | 2.385710e+00 | 2.156950e+00 | 2.542780e+00 | 1 | 51.740000 | 52.740000 |  
GRB180410A   |    824063    | 9.658880e-02 | 0.000000e+00 | 2.016330e-01 | 2.108060e-01 | 1.240570e-01 | 2.980660e-01 | 2.656370e-01 | 1.858690e-01 | 3.499900e-01 | 1.253870e-01 | N/A | N/A | 2.205920e-01 | 0.000000e+00 | 5.059310e-01 | 6.984190e-01 | 4.980090e-01 | 9.028060e-01 | 7.935700e-01 | 5.163830e-01 | 1.255660e+00 | 1 | 25.704000 | 26.704000 |  
GRB180407A   |    823001    | 3.092360e-01 | 1.885230e-01 | 4.336700e-01 | 3.130030e-01 | 2.307800e-01 | 4.044710e-01 | 1.780230e-01 | 1.086120e-01 | 2.431460e-01 | 4.793080e-02 | 0.000000e+00 | 8.910860e-02 | 7.362480e-02 | 0.000000e+00 | 1.948360e-01 | 8.482090e-01 | 6.469030e-01 | 1.049930e+00 | 8.737710e-01 | 6.550280e-01 | 1.124630e+00 | 1 | 2.172000 | 3.172000 |  
GRB180404B   |    821902    | 8.267320e-01 | 7.183020e-01 | 9.388860e-01 | 1.482650e+00 | 1.393530e+00 | 1.572400e+00 | 1.780900e+00 | 1.680620e+00 | 1.882230e+00 | 1.010270e+00 | 9.119380e-01 | 1.106160e+00 | 2.389700e+00 | 1.836690e+00 | 3.156120e+00 | 5.100550e+00 | 4.869920e+00 | 5.331210e+00 | 6.479990e+00 | 5.890170e+00 | 7.254100e+00 | 1 | 8.880000 | 9.880000 |  
